date,offset,size
2018-01-01,77,4440360
2018-01-02,4440437,4653654
2018-01-03,9094091,3914705
2018-01-04,13008796,3904830
2018-01-05,16913626,4196678
2018-01-06,21110304,4673965
2018-01-07,25784269,4626216
2018-01-08,30410485,4651149
2018-01-09,35061634,4659067
2018-01-10,39720701,5320967
2018-01-11,45041668,5372846
2018-01-12,50414514,6102396
2018-01-13,56516910,5951122
2018-01-14,62468032,5741662
2018-01-15,68209694,5271096
2018-01-16,73480790,5199356
2018-01-17,78680146,3920000
2018-01-18,82600146,5681665
2018-01-19,88281811,6094981
2018-01-20,94376792,6733311
2018-01-21,101110103,6385497
2018-01-22,107495600,5834647
2018-01-23,113330247,5765103
2018-01-24,119095350,5917343
2018-01-25,125012693,5802533
2018-01-26,130815226,5644541
2018-01-27,136459767,4627546
2018-01-28,141087313,4662778
2018-01-29,145750091,4802793
2018-01-30,150552884,5230296
2018-01-31,155783180,5330536
2018-02-01,161113716,5795595
2018-02-02,166909311,5414545
2018-02-03,172323856,5489950
2018-02-04,177813806,5484446
2018-02-05,183298252,5371156
2018-02-06,188669408,6729077
2018-02-07,195398485,8219860
2018-02-08,203618345,9424023
2018-02-09,213042368,12763965
2018-02-10,225806333,11100514
2018-02-11,236906847,10709484
2018-02-12,247616331,9682313
2018-02-13,257298644,9657018
2018-02-14,266955662,9626663
2018-02-15,276582325,13637403
2018-02-16,290219728,17776764
2018-02-17,307996492,18462959
2018-02-18,326459451,20
2018-02-19,326459471,20
2018-02-20,326459491,20
2018-02-21,326459511,18248711
2018-02-22,344708222,17827669
2018-02-23,362535891,18949127
2018-02-24,381485018,23763345
2018-02-25,405248363,24269648
2018-02-26,429518011,24390365
2018-02-27,453908376,26457390
2018-02-28,480365766,26015415
2018-03-01,506381181,26806705
2018-03-02,533187886,27019585
2018-03-03,560207471,29767963
2018-03-04,589975434,29391977
2018-03-05,619367411,28888684
2018-03-06,648256095,33918327
2018-03-07,682174422,36868815
2018-03-08,719043237,36554595
2018-03-09,755597832,40718558
2018-03-10,796316390,46701734
2018-03-11,843018124,47622848
2018-03-12,890640972,50753386
2018-03-13,941394358,48594498
2018-03-14,989988856,47015140
2018-03-15,1037003996,54679494
2018-03-16,1091683490,56562261
2018-03-17,1148245751,56640958
2018-03-18,1204886709,56977802
2018-03-19,1261864511,55846075
2018-03-20,1317710586,56967514
2018-03-21,1374678100,51590489
2018-03-22,1426268589,52552957
2018-03-23,1478821546,60700870
2018-03-24,1539522416,65198962
2018-03-25,1604721378,65381752
2018-03-26,1670103130,65623818
2018-03-27,1735726948,67129920
2018-03-28,1802856868,71009985
2018-03-29,1873866853,73558932
2018-03-30,1947425785,73205494
2018-03-31,2020631279,72655024
2018-04-01,2093286303,72721133
2018-04-02,2166007436,69311189
2018-04-03,2235318625,63094784
2018-04-04,2298413409,60843924
2018-04-05,2359257333,60423752
2018-04-06,2419681085,59218849
2018-04-07,2478899934,59221838
2018-04-08,2538121772,59438152
2018-04-09,2597559924,59039222
2018-04-10,2656599146,61223627
2018-04-11,2717822773,62555916
2018-04-12,2780378689,64714068
2018-04-13,2845092757,69794246
2018-04-14,2914887003,67968142
2018-04-15,2982855145,61969444
2018-04-16,3044824589,61442381
2018-04-17,3106266970,62307761
2018-04-18,3168574731,65106285
2018-04-19,3233681016,65242294
2018-04-20,3298923310,64893179
2018-04-21,3363816489,64462217
2018-04-22,3428278706,65675695
2018-04-23,3493954401,66701834
2018-04-24,3560656235,65898798
2018-04-25,3626555033,68924735
2018-04-26,3695479768,70898748
2018-04-27,3766378516,71093356
2018-04-28,3837471872,70151176
2018-04-29,3907623048,70546760
2018-04-30,3978169808,70595456
2018-05-01,4048765264,70310737
2018-05-02,4119076001,70138720
2018-05-03,4189214721,70366070
2018-05-04,4259580791,65878968
2018-05-05,4325459759,70188285
2018-05-06,4395648044,70881595
2018-05-07,4466529639,71757011
2018-05-08,4538286650,76582697
2018-05-09,4614869347,77460701
2018-05-10,4692330048,55475669
2018-05-11,4747805717,64115188
2018-05-12,4811920905,72329953
2018-05-13,4884250858,71817194
2018-05-14,4956068052,70057991
2018-05-15,5026126043,67049403
2018-05-16,5093175446,66905318
2018-05-17,5160080764,67057719
2018-05-18,5227138483,70551758
2018-05-19,5297690241,71902893
2018-05-20,5369593134,69322353
2018-05-21,5438915487,68162920
2018-05-22,5507078407,69275258
2018-05-23,5576353665,69741918
2018-05-24,5646095583,72674502
2018-05-25,5718770085,73998413
2018-05-26,5792768498,72314376
2018-05-27,5865082874,71438869
2018-05-28,5936521743,70812682
2018-05-29,6007334425,69256721
2018-05-30,6076591146,70513238
2018-05-31,6147104384,69443392
2018-06-01,6216547776,72896168
2018-06-02,6289443944,73393187
2018-06-03,6362837131,72956547
2018-06-04,6435793678,74790996
2018-06-05,6510584674,77025403
2018-06-06,6587610077,77138155
2018-06-07,6664748232,75458349
2018-06-08,6740206581,74511724
2018-06-09,6814718305,75084476
2018-06-10,6889802781,75362033
2018-06-11,6965164814,75451363
2018-06-12,7040616177,75679647
2018-06-13,7116295824,76095187
2018-06-14,7192391011,75886528
2018-06-15,7268277539,76355842
2018-06-16,7344633381,77674181
2018-06-17,7422307562,77238680
2018-06-18,7499546242,76461619
2018-06-19,7576007861,76261125
2018-06-20,7652268986,75509280
2018-06-21,7727778266,74786967
2018-06-22,7802565233,74715462
2018-06-23,7877280695,74579641
2018-06-24,7951860336,73859946
2018-06-25,8025720282,73027252
2018-06-26,8098747534,73341615
2018-06-27,8172089149,73106892
2018-06-28,8245196041,72799212
2018-06-29,8317995253,72015765
2018-06-30,8390011018,70098633
2018-07-01,8460109651,69178197
2018-07-02,8529287848,68640914
2018-07-03,8597928762,68984314
2018-07-04,8666913076,68125012
2018-07-05,8735038088,67220720
2018-07-06,8802258808,64938979
2018-07-07,8867197787,64057870
2018-07-08,8931255657,64131811
2018-07-09,8995387468,64086529
2018-07-10,9059473997,63976608
2018-07-11,9123450605,62594242
2018-07-12,9186044847,59941416
2018-07-13,9245986263,59043537
2018-07-14,9305029800,60649077
2018-07-15,9365678877,59727888
2018-07-16,9425406765,59342422
2018-07-17,9484749187,59062730
2018-07-18,9543811917,59486792
2018-07-19,9603298709,62189324
2018-07-20,9665488033,61970405
2018-07-21,9727458438,60657435
