
eps range:
[0.001, 0.002, 0.003, 0.004, 0.005]

min_samples range:
[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 50, 100, 150]

--- NEW VARIABLE ---
eps: 0.001   min_samples: 3
Cluster Count: 4056
-1       624
 354     378
 376     376
 395     374
 337     367
 371     362
 416     350
 400     347
 401     343
 345     319
 431     318
 433     307
 327     304
 329     304
 443     296
 226     291
 322     286
 285     285
 455     284
 522     281
 482     277
 302     273
 527     269
 235     267
 473     266
 231     265
 287     265
 275     264
 248     261
 608     261
 295     261
 259     259
 494     257
 314     257
 141     256
 269     253
 189     249
 265     248
 161     246
 557     245
 160     242
 653     241
 95      238
 531     237
 130     234
 114     233
 584     233
 222     233
 112     232
 634     227
 636     223
 370     220
 137     219
 336     219
 173     216
 641     216
 710     214
 709     214
 630     213
 448     212
 407     212
 687     209
 349     208
 178     207
 375     207
 436     206
 620     204
 340     203
 592     203
 372     203
 534     202
 339     201
 722     201
 374     200
 342     199
 365     198
 103     197
 410     196
 386     196
 385     195
 341     195
 378     194
 559     194
 396     194
 351     194
 394     193
 405     193
 398     192
 348     192
 353     192
 364     191
 782     191
 424     191
 444     191
 347     191
 379     189
 346     189
 403     189
 406     188
 373     188
 367     187
 352     186
 445     185
 412     184
 489     183
 430     183
 343     183
 335     182
 389     182
 390     182
 338     182
 393     181
 1706    180
 434     180
 377     180
 355     179
 358     179
 366     179
 388     178
 404     178
 409     176
 325     176
 423     176
 438     175
 350     174
 368     174
 356     174
 437     173
 391     173
 397     173
 777     172
 73      172
 470     172
 81      171
 363     171
 384     171
 704     171
 51      170
 334     170
 383     170
 422     167
 426     166
 435     165
 476     165
 471     165
 417     165
 86      165
 399     165
 806     164
 447     164
 488     163
 344     163
 427     163
 324     163
 381     163
 428     162
 369     162
 420     162
 491     162
 382     162
 306     161
 1708    161
 490     160
 411     160
 387     160
 575     160
 464     160
 320     159
 824     159
 487     159
 251     159
 330     158
 439     158
 415     158
 484     158
 291     158
 461     158
 480     157
 333     157
 432     157
 192     157
 260     156
 413     156
 1929    156
 451     156
 932     156
 457     155
 392     154
 402     154
 147     154
 288     154
 425     154
 477     153
 328     153
 316     153
 89      153
 478     153
 362     152
 286     152
 408     152
 449     152
 281     151
 442     151
 474     151
 146     151
 577     151
 469     150
 319     150
 465     150
 418     150
 294     150
 771     150
 492     149
 446     149
 304     149
 773     149
 296     149
 453     149
 293     149
 290     149
 331     148
 460     148
 463     148
 441     147
 414     147
 472     147
 380     147
 540     147
 284     147
 419     146
 516     146
 230     145
 307     145
 541     145
 278     145
 133     144
 357     144
 421     144
 280     144
 318     143
 195     143
 246     143
 23      143
 49      143
 458     143
 526     142
 308     142
 462     142
 518     142
 252     142
 456     142
 42      142
 499     141
 272     141
 508     141
 326     141
 440     141
 450     141
 507     140
 143     140
 454     140
 261     140
 497     140
 642     139
 486     139
 297     139
 975     139
 479     139
 643     139
 573     139
 574     138
 163     138
 303     138
 282     138
 162     138
 564     138
 483     137
 241     137
 227     137
 256     137
 760     137
 267     137
 572     137
 305     137
 203     136
 149     136
 506     136
 244     136
 268     136
 467     136
 648     136
 300     136
 569     136
 468     136
 784     136
 510     136
 283     136
 809     136
 530     135
 498     135
 361     135
 232     135
 655     135
 521     135
 11      135
 672     135
 311     135
 580     135
 250     135
 549     135
 515     134
 512     134
 237     134
 174     134
 266     134
 554     134
 360     134
 317     134
 503     134
 2166    134
 660     134
 46      133
 238     133
 617     133
 236     133
 429     133
 188     133
 459     133
 640     133
 264     133
 537     133
 738     133
 639     133
 29      132
 485     132
 686     132
 292     132
 2173    132
 321     132
 511     131
 138     131
 257     131
 513     131
 154     131
 652     131
 247     131
 579     131
 323     131
 198     130
 301     130
 168     130
 665     130
 566     130
 206     130
 529     130
 519     130
 273     130
 172     130
 359     130
 298     130
 313     130
 186     130
 191     130
 532     130
 332     129
 481     129
 242     129
 194     129
 258     129
 234     129
 289     129
 493     129
 1921    129
 496     129
 239     128
 1889    128
 631     128
 59      128
 274     128
 263     128
 156     128
 524     128
 185     127
 539     127
 182     127
 565     127
 197     127
 570     127
 151     127
 228     127
 245     127
 501     127
 502     127
 177     127
 1986    127
 240     126
 614     126
 520     126
 200     126
 546     126
 624     126
 142     126
 699     126
 166     126
 683     126
 279     126
 253     125
 225     125
 625     125
 229     125
 207     125
 514     125
 277     125
 555     125
 505     125
 144     125
 568     125
 2158    125
 547     124
 3       124
 632     124
 495     124
 716     124
 578     124
 550     124
 517     124
 504     124
 586     124
 184     124
 221     124
 152     123
 204     123
 610     123
 746     123
 165     123
 100     123
 159     123
 649     123
 571     123
 500     122
 585     122
